date,gdp,gte,netexp
1/1/1981,3124.206,1022.594,-14.259
1/4/1981,3162.532,1037.406,-13.508
1/7/1981,3260.609,1063.556,-7.561
1/10/1981,3280.818,1102.243,-14.75
1/1/1982,3274.302,1122.585,-16.276
1/4/1982,3331.972,1150.144,-4.386
1/7/1982,3366.322,1185.946,-29.647
1/10/1982,3402.561,1222.288,-29.587
1/1/1983,3473.413,1245.64,-24.548
1/4/1983,3578.848,1255.644,-45.434
1/7/1983,3689.179,1289.036,-65.2
1/10/1983,3794.706,1299.511,-71.385
1/1/1984,3908.054,1320.756,-95.004
1/4/1984,4009.601,1349.946,-104.301
1/7/1984,4084.25,1380.136,-103.847
1/10/1984,4148.551,1423.837,-107.756
1/1/1985,4230.168,1450.988,-91.298
1/4/1985,4294.887,1483.532,-114.445
1/7/1985,4386.773,1514.894,-116.895
1/10/1985,4444.094,1537.959,-133.434
1/1/1986,4507.894,1557.805,-126.014
1/4/1986,4545.34,1583.015,-128.872
1/7/1986,4607.669,1625.337,-138.961
1/10/1986,4657.627,1625.423,-133.629
1/1/1987,4722.156,1646.039,-141.234
1/4/1987,4806.16,1671.575,-146.977
1/7/1987,4884.555,1686.721,-145.464
1/10/1987,5007.994,1720.342,-145.405
1/1/1988,5073.372,1734.528,-123.987
1/4/1988,5190.036,1750.068,-106.627
1/7/1988,5282.835,1762.318,-99.263
1/10/1988,5399.509,1810.922,-107.694
1/1/1989,5511.253,1844.66,-100.965
1/4/1989,5612.463,1882.377,-88.16
1/7/1989,5695.365,1914.59,-75.075
1/10/1989,5747.237,1946.346,-82.765
1/1/1990,5872.701,1998.202,-88.536
1/4/1990,5960.028,2033.141,-68.833
1/7/1990,6015.116,2059.883,-74.953
1/10/1990,6004.733,2130.474,-79.096
1/1/1991,6035.178,2069.788,-47.14
1/4/1991,6126.862,2147.776,-23.188
1/7/1991,6205.937,2209.803,-21.074
1/10/1991,6264.54,2239.205,-23.053
1/1/1992,6363.102,2294.836,-20.536
1/4/1992,6470.763,2326.569,-32.788
1/7/1992,6566.641,2355.715,-38.488
1/10/1992,6680.803,2379.825,-47.14
1/1/1993,6729.459,2383.922,-55.704
1/4/1993,6808.939,2398.116,-63.187
1/7/1993,6882.098,2423.515,-68.354
1/10/1993,7013.738,2445.454,-73.449
1/1/1994,7115.652,2429.861,-80.595
1/4/1994,7246.931,2460.32,-90.572
1/7/1994,7331.075,2508.239,-96.868
1/10/1994,7455.288,2544.704,-101.913
1/1/1995,7522.289,2582.423,-105.329
1/4/1995,7580.997,2610.521,-109.492
1/7/1995,7683.125,2598.783,-74.444
1/10/1995,7772.586,2615.396,-69.78
1/1/1996,7868.468,2669.979,-88.795
1/4/1996,8032.84,2695.197,-93.709
1/7/1996,8131.408,2701.801,-114.18
1/10/1996,8259.771,2720.88,-88.822
1/1/1997,8362.655,2740.531,-108.839
1/4/1997,8518.825,2741.552,-85.201
1/7/1997,8662.823,2784.966,-96.831
1/10/1997,8765.907,2822.362,-117.014
1/1/1998,8866.48,2809.434,-135.215
1/4/1998,8969.699,2837.501,-162.331
1/7/1998,9121.097,2866.201,-174.634
1/10/1998,9293.991,2909.222,-178.663
1/1/1999,9411.682,2931.044,-212.559
