date,Gross Domestic Product,Gross National Product,Gross domestic product per capita,Sticky Price Consumer Price Index less Food and Energy,Producer Price Index by Commodity: All Commodities,Unemployment Rate,Labor Force Participation Rate,Personal Consumption Expenditures,Net domestic investment: Private: Domestic business,Federal Government: Current Expenditures,"Trade Balance: Goods and Services, Balance of Payments Basis",Balance on current account,U.S. Dollars to Euro Spot Exchange Rate,Japanese Yen to U.S. Dollar Spot Exchange Rate,Federal Funds Effective Rate,M1,M2,Federal Debt: Total Public Debt,Federal Surplus or Deficit [-],Advance Retail Sales: Retail Trade,Industrial Production: Total Index,New Privately-Owned Housing Units Started: Total Units,Total Construction Spending: Total Construction in the United States,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for United States,Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: OECD Indicator for United States,Leading Index for the United States,Retail Inventories: Clothing and Clothing Accessory Stores,Total Business Inventories,5-Year High Quality Market (HQM) Corporate Bond Par Yield,Corporate Profits After Tax (without IVA and CCAdj),Real Exports of Goods and Services,"Rest of the World; Foreign Direct Investment in U.S.; Asset (Current Cost), Transactions",Equity Market Volatility Tracker: Exchange Rates,Producer Price Index by Commodity: Metals and Metal Products: Gold Ores,15-Year Fixed Rate Mortgage Average in the United States,Disposable Personal Income,CBOE Volatility Index: VIX,ICE BofA US High Yield Index Effective Yield,Employment Cost Index: Total compensation: All Civilian,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,Personal Saving,Gross Domestic Product (Growth),Gross National Product (Growth),Gross domestic product per capita (Growth),Sticky Price Consumer Price Index less Food and Energy (Growth),Producer Price Index by Commodity: All Commodities (Growth),Unemployment Rate (Growth),Labor Force Participation Rate (Growth),Personal Consumption Expenditures (Growth),Net domestic investment: Private: Domestic business (Growth),Federal Government: Current Expenditures (Growth),"Trade Balance: Goods and Services, Balance of Payments Basis (Growth)",Balance on current account (Growth),U.S. Dollars to Euro Spot Exchange Rate (Growth),Japanese Yen to U.S. Dollar Spot Exchange Rate (Growth),Federal Funds Effective Rate (Growth),M1 (Growth),M2 (Growth),Federal Debt: Total Public Debt (Growth),Federal Surplus or Deficit [-] (Growth),Advance Retail Sales: Retail Trade (Growth),Industrial Production: Total Index (Growth),New Privately-Owned Housing Units Started: Total Units (Growth),Total Construction Spending: Total Construction in the United States (Growth),Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for United States (Growth),Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: OECD Indicator for United States (Growth),Leading Index for the United States (Growth),Retail Inventories: Clothing and Clothing Accessory Stores,Total Business Inventories (Growth),5-Year High Quality Market (HQM) Corporate Bond Par Yield (Growth),Corporate Profits After Tax (without IVA and CCAdj) (Growth),Real Exports of Goods and Services (Growth),"Rest of the World; Foreign Direct Investment in U.S.; Asset (Current Cost), Transactions (Growth)",Equity Market Volatility Tracker: Exchange Rates (Growth),Producer Price Index by Commodity: Metals and Metal Products: Gold Ores (Growth),15-Year Fixed Rate Mortgage Average in the United States (Growth),Disposable Personal Income (Growth),CBOE Volatility Index: VIX (Growth),ICE BofA US High Yield Index Effective Yield (Growth),Employment Cost Index: Total compensation: All Civilian (Growth),Federal Debt: Total Public Debt as Percent of Gross Domestic Product (Growth),Personal Saving (Growth)
1/01/2001,10470.231,10510.297,36845,2.950053633,137.767,4.2,67.2,6995.3,414.895,1982.626,-32438,-107136,0.922,118.25,5.6,1101.9,5020.8,5773740,-7483.666667,251895,91.4115,1605,818728,100.7917994,97.47760327,0.69,36575,1191871,6.35,528.836,-4.9,236820,0.34586,81.7,6.59,7707.3,25.73,12.99,84.7,55.14434,392.3,0.33047,0.18938,0.10052,0.61014,1.64781,8.54701,0.3986,1.10861,-23.57829,2.26068,-2.21662,0.80637,6.19328,7.64946,-13.55839,0.58633,2.74453,1.96962,857.39872,0.4621,-1.23,3.95078,0.3478,-1.25867,-1.05805,-30.06757,0.38608,-0.20205,-10.80955,7.52852,25.64103,-39.19648,36.70127,-1.04966,-9.66994,1.5633,-1.1155,-5.83002,0,1.63375,11.72283
4/1/2001,10599,10647.427,37211,3.1323022,136.233,4.4,66.8,7042.2,384.743,2003.581,-28922,-95251,0.8736,122.62,4.33,1121.8,5146.9,5726815,64579.66667,254668,90.2516,1630,848756,100.6275136,97.72402941,0.43,36283,1179906,6.21,551.684,-11.2,238256,0.16107,81.2,6.66,7723.6,23.92,13.04,85.5,54.03165,361.7,1.22986,1.30472,0.99335,6.17781,-1.11299,3.93701,-0.59553,0.67093,-7.26738,1.05693,-10.83903,-11.09338,-5.24261,3.69039,-22.69603,1.80249,2.51295,-0.81273,-962.94152,1.10059,-1.26888,1.55763,3.66768,-0.163,0.2528,-37.19807,-0.79926,-1.00386,-2.3085,4.32043,128.57143,0.60637,-53.42862,-0.612,1.07401,0.21149,-7.00696,0.37295,0.94451,-2.01778,-7.80799
7/1/2001,10598.02,10623.039,37110,3.293857767,133.367,4.8,66.7,7070.3,336.012,2037.703,-29404,-103435,0.8908,121.63,3.5,1157.4,5240.9,5807464,-13889.66667,252467,89.0088,1600,845116,100.2850039,98.31515386,0.2,36274,1161962,5.82,505.61,-19,56512,0.25789,84.467,6.51,7896.1,25.38,13.1,86.4,54.79763,507,-0.00925,-0.22905,-0.27143,5.15773,-2.10423,9.84848,-0.09985,0.39902,-12.66586,1.70305,1.66653,8.59204,1.96428,-0.80656,-19.07183,3.1736,1.82648,1.40827,-121.5078,-0.864,-1.37697,-1.86094,-0.42886,-0.34037,0.60489,-54.61538,-0.02572,-1.5208,-6.22986,-8.35152,69.64286,-76.28098,60.1072,4.02299,-2.29845,2.23298,6.0882,0.45458,1.05263,1.41765,40.18063
10/1/2001,10660.465,10748.408,37234,3.560389167,129.4,5.5,66.7,7187.3,229.85,2045.404,-29360,-88263,0.8951,123.74,2.13,1179,5384.5,5943439,-11785.33333,261687,88.0348,1570,846514,99.95170808,98.20266979,-0.26,36109,1127980,5.45,489.453,-13.2,140596,0.27196,85.267,6.25,7768.1,27.91,13.22,87.2,55.75216,270.2,0.58921,1.18016,0.33414,8.09177,-2.97426,13.7931,0,1.65433,-31.5947,0.37793,-0.15191,-14.66815,0.48888,1.73812,-39.15689,1.87093,2.73964,2.34138,-15.15035,3.65196,-1.09431,-1.85455,0.16538,-0.33235,-0.11441,-230.50847,-0.45488,-2.92454,-6.30011,-3.19555,-30.52632,148.78964,5.45581,0.94712,-3.90117,-1.62106,9.96701,0.86613,0.92593,1.74192,-46.70304
1/1/2002,10783.5,10833.143,37582,3.529122167,128.9,5.7,66.6,7217.7,269.353,2091.469,-31113,-102608,0.877,132.42,1.73,1186.5,5477.2,6006032,-32188.33333,257012,88.6851,1723,855181,100.796158,99.72872722,0.58,35242,1112480,5.65,538.088,9,98976,0.50059,89.367,6.46,7966.4,21.36,12.41,87.9,55.6965,445.7,1.15412,0.78835,0.93463,-0.87819,-0.3864,3.63636,-0.09995,0.42343,17.18643,2.25212,5.97305,16.25256,-2.02269,7.01623,-18.66032,0.63694,1.7212,1.05314,173.12196,-1.78661,0.73872,9.74522,1.02389,0.84486,1.55399,-327.27273,-2.39924,-1.37417,3.60636,9.9366,-168.18182,-29.60255,84.06751,4.80844,3.33374,2.55276,-23.46531,-6.07268,0.80275,-0.09983,64.94388
4/1/2002,10887.46,10918.384,37860,3.397329567,130.833,5.8,66.7,7308,266.956,2130.186,-34241,-114669,0.9186,126.92,1.75,1192.6,5523.2,6126469,5203.333333,259564,90.0547,1691,851984,100.9437126,100.3440269,0.78,35438,1110068,5.53,596.152,12.4,29880,0.22497,94.1,6.29,8090.3,21.64,11.88,88.8,56.27087,484.2,0.96407,0.78685,0.73972,-3.73443,1.49987,2.33918,0.05003,1.25016,-0.88991,1.85119,10.0525,11.75444,4.73472,-4.15417,1.07621,0.51206,0.83985,2.00527,-116.16528,0.99295,1.5443,-1.85723,-0.37384,0.14639,0.61697,33.14286,0.5552,-0.21678,-2.18289,10.7908,37.77778,-69.81086,-55.0597,5.29653,-2.71429,1.55613,1.32154,-4.31964,1.02389,1.03125,8.62249
7/1/2002,10984.04,11027.515,38099,3.156120133,131.667,5.7,66.6,7397.1,252.924,2148.447,-35462,-114854,0.9842,119.27,1.74,1191.8,5610.1,6228236,-13826.66667,262813,90.6104,1697,839424,100.1572313,99.60661829,1,36426,1122998,4.72,652.139,1.3,57312,0.45322,96.133,5.71,8144.2,35.07,13.23,89.5,56.7026,453.2,0.88708,0.99952,0.63127,-7.09997,0.63694,-1.71429,-0.1,1.22013,-5.2563,0.85725,3.5659,0.16133,7.14401,-6.0305,-0.60912,-0.06703,1.57298,1.6611,-365.7271,1.25159,0.61703,0.37453,-1.47425,-0.77913,-0.73488,28.75536,2.78797,1.16473,-14.53559,9.3914,-89.51613,91.80723,101.46096,2.16082,-9.12873,0.66623,62.03038,11.415,0.78829,0.76724,-6.39587
10/1/2002,11061.433,11120.565,38274,2.861254367,133.067,5.9,66.4,7473,238.02,2184.697,-39406,-123975,1.0003,122.52,1.44,1215.1,5748.1,6405707,-36078.66667,263817,90.5639,1730,846769,99.72473977,99.47593779,0.75,37025,1134178,4.48,725.113,-5.8,157664,0.18222,97.5,5.47,8234.1,30.73,13,90.1,57.91028,466.8,0.7046,0.8438,0.45933,-9.34267,1.06329,2.32558,-0.25025,1.02517,-5.89268,1.68727,11.12082,7.94139,1.63581,2.72666,-17.03921,1.95306,2.46024,2.84946,160.93539,0.38215,-0.05132,1.90495,0.87508,-0.43181,-0.1312,-24.66667,1.64443,0.99558,-5.08116,11.18995,-546.15385,175.09771,-59.79362,1.42164,-4.22839,1.10385,-12.3807,-1.77338,0.67039,2.12985,3.00824
1/1/2003,11174.129,11217.689,38584,2.706666567,138.033,5.9,66.4,7567.1,231.898,2220.262,-41681,-135362,1.0733,118.93,1.25,1232.9,5832.4,6460776,-48302.33333,266079,91.1305,1736,858071,99.46827264,99.18412917,0.69,38011,1145591,4,721.524,-1.2,153156,0.24785,108.033,5.2,8292.3,30.02,11.32,91.2,57.81906,432.6,1.01882,0.87337,0.80995,-5.4028,3.73246,0,-0.10035,1.2601,-2.57205,1.62791,5.77497,9.18492,7.30203,-2.92784,-13.47232,1.46937,1.46577,0.85969,33.88059,0.85754,0.62571,0.36616,1.33464,-0.25718,-0.29335,-8.40708,2.66217,1.00631,-10.70632,-0.49496,-79.31034,-2.85924,36.01259,10.80342,-4.86502,0.70641,-2.29148,-12.91151,1.22087,-0.15752,-7.32596
4/1/2003,11312.766,11369.131,38976,2.3597466,137.167,6.1,66.4,7661.5,227.254,2299.919,-40926,-129336,1.1356,118.55,1.25,1270.3,5956.2,6670121,-5523.666667,268318,90.4524,1754,869046,100.2531487,99.06129183,0.43,38025,1145893,3.45,723.377,0.7,-16232,0.39158,104.2,4.87,8404.9,21.53,9.48,92,58.96101,447.1,1.2407,1.35003,1.01597,-12.81724,-0.62787,4.54545,0.10045,1.24662,-2.0026,3.58773,-1.81216,-4.45177,5.80477,-0.32056,-0.23713,3.02783,2.12264,3.24025,-88.56439,0.84148,-0.74413,1.01767,1.27907,0.78907,-0.12385,-37.68116,0.03771,0.0263,-13.82182,0.25682,-158.33333,-110.59834,57.99285,-3.54829,-6.47354,1.35748,-28.28318,-16.23866,0.87719,1.97504,3.35157
